id_fai,users_id,website,agencyname,address,state,county,city,zipcode,fax,pif,dm_id,years_in_bus,spanish,ecmscalender,appts,forwardinglines,livestatus,mopen,mclose,topen,tclose,wopen,wclose,ropen,rclose,fopen,fclose,saopen,saclose,suopen,suclose,lunch_open,lunch_close,start_request_date,fast_products,fast_products_approved,portal_update_time
18,1,http://www.farmersagent.com/agarza,"Andrew Garza Agency","6819 San Pedro Ave",TX,Bexar,"San Antonio",48484,3252352352,23,545,23,No,Yes,"All of the above",Yes,"These are some of my notes for the reps to see, Hey guys! test","08:00 AM","05:00 PM","11:00 AM","05:00 PM","08:00 AM","05:00 PM","09:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","08:00 AM","08:00 AM","08:00 AM",NULL,NULL,12/17/2013,3#2#1,#3#1,1387318322.156
21,2,http://www.farmersagent.com/jjohnson2,"Jeffrey Johnson Agency","77 Sugar Creek Center Blvd Ste 205",TX,"Fort Bend","Sugar Land",77478,,,,,No,Yes,,Yes,NULL,"08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","08:00 AM","08:00 AM","08:00 AM",NULL,NULL,12/19/2013,1,,NULL
22,3,http://www.farmersagent.com/mroberts,"Michael Roberts Agency","6970 S Holly Cir Ste 104",CO,Arapahoe,Centennial,80112,,,,,No,Yes,,Yes,NULL,"08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","08:00 AM","08:00 AM","08:00 AM",NULL,NULL,12/26/2013,1,NULL,NULL
26,5,http://www.farmersagent.com/jmartinez1,"Josephine Martinez Agency","1034 S Shaver St Ste D",TX,Harris,Pasadena,77506,3252523535,23,26,23,No,Yes,"All of the above",Yes,NULL,"08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","08:00 AM","08:00 AM","08:00 AM",NULL,NULL,12/20/2013,1#2,#1#2,NULL
27,6,http://www.farmersagent.com/mbinns,"Michael Binns Agency","8320 Bee Cave Rd Ste 100",TX,Travis,Austin,78746,,,,,No,Yes,,Yes,NULL,"08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","05:00 PM","08:00 AM","08:00 AM","08:00 AM","08:00 AM",NULL,NULL,,1,#1,NULL
