Created Time,Group,Resolved Time,Status
2013-05-10 13:46:58 -0500,PacLife Software Support,2013-05-10 17:01:38 -0500,Closed
2013-05-10 14:13:07 -0500,Other,2013-05-10 16:11:41 -0500,Closed
2013-05-10 15:01:05 -0500,Nationwide Other,2013-05-10 16:19:04 -0500,Closed
2013-05-10 15:30:02 -0500,CSG Staff Other,2013-05-10 16:09:52 -0500,Closed
2013-05-10 16:06:33 -0500,Web Support,2013-05-10 16:07:59 -0500,Closed
2013-05-10 19:11:27 -0500,Headset Replacement,2013-05-13 08:30:19 -0500,Closed
2013-05-11 10:52:30 -0500,Farmers Other,2013-05-14 07:49:22 -0500,Closed
2013-05-11 11:39:34 -0500,Farmers Hardware Support,2013-05-14 12:15:41 -0500,Closed
2013-05-13 07:08:40 -0500,Con-Way Software Support,2013-05-13 07:27:49 -0500,Closed
2013-05-13 08:36:36 -0500,DoE Software Support,2013-05-13 12:30:38 -0500,Closed
2013-05-13 10:12:28 -0500,Farmers Hardware Support,2013-05-13 11:35:02 -0500,Closed
2013-05-13 12:22:10 -0500,Answer Financial Other,2013-05-13 12:32:08 -0500,Closed
2013-05-13 13:17:10 -0500,Project,2013-05-14 10:53:19 -0500,Closed
2013-05-13 13:45:15 -0500,CSG Staff Hardware Support,2013-05-14 08:21:56 -0500,Closed
2013-05-13 14:01:30 -0500,Other,2013-05-14 10:39:23 -0500,Closed
2013-05-13 15:10:05 -0500,Farmers Hardware Support,2013-05-13 15:39:42 -0500,Closed
2013-05-13 15:34:23 -0500,Nationwide Other,2013-05-14 12:12:25 -0500,Closed
2013-05-13 16:12:24 -0500,Farmers Other,2013-05-13 16:19:19 -0500,Closed
2013-05-13 16:15:41 -0500,Farmers Hardware Support,2013-05-13 16:19:04 -0500,Closed
2013-05-13 16:38:49 -0500,Farmers Software Support,2013-05-13 17:01:59 -0500,Closed
2013-05-13 17:26:35 -0500,Other,2013-05-14 12:23:33 -0500,Closed
2013-05-13 18:00:23 -0500,Farmers Hardware Support,2013-05-14 08:21:13 -0500,Closed
2013-05-13 21:11:11 -0500,Nationwide Hardware Support,2013-05-14 08:22:18 -0500,Closed
2013-05-14 08:26:20 -0500,Con-Way Other,2013-05-14 10:27:46 -0500,Closed
2013-05-14 08:32:32 -0500,Farmers Other,2013-05-14 08:32:56 -0500,Closed
2013-05-14 09:19:25 -0500,Farmers Software Support,2013-05-17 12:14:42 -0500,Closed
2013-05-14 10:20:07 -0500,Other,2013-05-14 13:12:06 -0500,Closed
2013-05-14 11:07:27 -0500,Headset Replacement,2013-05-14 13:12:27 -0500,Closed
2013-05-14 11:13:12 -0500,Answer Financial Hardware Support,2013-05-14 12:17:43 -0500,Closed
2013-05-14 11:29:45 -0500,PacLife Hardware Support,2013-05-15 15:10:21 -0500,Closed
2013-05-14 12:47:50 -0500,Feedback,2013-05-14 16:15:13 -0500,Closed
2013-05-14 12:56:16 -0500,Other,2013-05-14 13:07:01 -0500,Closed
2013-05-14 14:50:55 -0500,Headset Replacement,2013-05-14 15:26:18 -0500,Closed
2013-05-14 16:39:25 -0500,Other,2013-05-14 17:06:00 -0500,Closed
2013-05-15 08:30:54 -0500,Farmers Software Support,2013-05-15 11:10:43 -0500,Closed
2013-05-15 11:32:35 -0500,Farmers Other,2013-05-15 11:38:26 -0500,Closed
2013-05-15 12:13:45 -0500,Other,2013-05-16 16:51:52 -0500,Closed
2013-05-15 12:53:51 -0500,Other,2013-05-16 11:25:14 -0500,Closed
2013-05-15 12:55:34 -0500,Other,2013-05-15 15:07:12 -0500,Closed
2013-05-15 13:03:02 -0500,Farmers Other,2013-05-15 15:04:44 -0500,Closed
2013-05-15 14:24:00 -0500,DoE Other,,Project
2013-05-15 14:28:17 -0500,Con-Way Software Support,2013-05-16 11:28:37 -0500,Closed
2013-05-15 14:39:40 -0500,Answer Financial Other,2013-05-15 15:09:49 -0500,Closed
2013-05-15 15:02:54 -0500,Headset Replacement,2013-05-15 15:08:44 -0500,Closed
2013-05-15 22:59:23 -0500,Other,,Project
2013-05-16 08:48:52 -0500,Answer Financial Hardware Support,2013-05-16 09:11:31 -0500,Closed
2013-05-16 09:51:50 -0500,DoE Software Support,2013-05-16 16:53:33 -0500,Closed
2013-05-16 09:53:00 -0500,Farmers Software Support,2013-05-16 11:23:36 -0500,Closed
2013-05-16 10:23:20 -0500,DoE Hardware Support,2013-05-16 16:50:10 -0500,Closed
2013-05-16 10:51:06 -0500,Other,2013-05-16 11:23:02 -0500,Closed
2013-05-16 10:58:11 -0500,CSG Staff Other,2013-05-16 16:49:56 -0500,Closed
2013-05-16 11:10:16 -0500,DoE Software Support,2013-05-16 11:48:11 -0500,Closed
2013-05-16 11:38:52 -0500,Headset Replacement,2013-05-16 16:53:54 -0500,Closed
2013-05-16 11:58:38 -0500,DoE Software Support,2013-05-16 16:52:45 -0500,Closed
2013-05-16 12:39:23 -0500,Project,2013-05-16 17:59:18 -0500,Closed
2013-05-16 12:49:47 -0500,Other,,Open
2013-05-16 13:32:40 -0500,Nationwide Software Support,2013-05-16 17:58:51 -0500,Closed
2013-05-16 18:58:00 -0500,CSG Staff Other,2013-05-17 08:48:29 -0500,Closed
2013-05-17 09:52:33 -0500,CSG Staff Hardware Support,2013-05-17 12:13:14 -0500,Closed
2013-05-17 09:55:07 -0500,CSG Staff Other,2013-05-17 13:33:47 -0500,Closed
2013-05-17 12:12:51 -0500,Farmers Other,2013-05-17 12:25:53 -0500,Closed
2013-05-17 12:35:46 -0500,DoE Hardware Support,,Open
2013-05-17 12:51:28 -0500,Farmers Hardware Support,2013-05-17 13:35:26 -0500,Closed
2013-05-17 13:01:27 -0500,Farmers Hardware Support,2013-05-17 13:33:22 -0500,Closed
2013-05-17 15:12:40 -0500,CSG Staff Software Support,2013-05-17 15:33:05 -0500,Closed
2013-05-17 16:17:47 -0500,Project,,Open
2013-05-17 16:19:26 -0500,Project,,Open
2013-05-17 18:07:14 -0500,Farmers Other,,Open
2013-05-17 18:47:17 -0500,DoE Software Support,,Open
